"pathway","pval","padj","log2err","ES","NES","size"
"GO:0030864",0.160206718346253,0.605011225864391,0.178219874951973,-0.500613150837144,-1.3184731605966,14
"GO:0030866",0.0282133773544471,0.284577041399837,0.352487857583619,-0.489115434415637,-1.56311559797791,34
"GO:0030968",0.494475138121547,0.902111213659437,0.0978773277424561,-0.34404658918325,-0.949368627558788,17
"GO:0030992",0.417491749174917,0.854695249415912,0.0785029047348687,0.468439783462884,1.05484853054116,11
"GO:0031011",0.860197368421053,1,0.0436251240000606,0.299381142150724,0.682011667628546,12
"GO:0031012",0.00398496841691297,0.0968468081928546,0.407017918923954,-0.388714560221312,-1.56430694662949,109
"GO:0031032",0.397932816537468,0.849912433723167,0.107140237276725,-0.38675268191631,-1.01859695463992,14
"GO:0031072",6.48879151939815e-09,9.46183781555876e-07,0.761460801445585,0.858779616635771,2.29500204059987,23
"GO:0031090",0.472906403940887,0.894050788977041,0.0718276293603809,0.425903125570886,0.991603278711946,13
"GO:0031122",0.613861386138614,0.986606877120578,0.0956031492204301,-0.297077109835577,-0.883084391667048,25
"GO:0031124",0.00449950998194277,0.103771337929867,0.407017918923954,-0.679190964102481,-1.78879651002251,14
"GO:0031145",0.0777777777777778,0.463966232068821,0.271288554688953,-0.533138681702946,-1.50928249284946,18
"GO:0031146",0.629820051413882,0.991245236378618,0.0466015072985992,0.283251825315151,0.899732527016659,59
"GO:0031167",0.371212121212121,0.82351337598139,0.110122263835536,-0.439282386047869,-1.06676050636978,11
"GO:0031175",0.840540540540541,1,0.0679922591544058,-0.262252743256216,-0.716058079581001,16
"GO:0031201",0.688571428571429,1,0.0473534245254193,0.305097884954387,0.8542858474625,30
"GO:0031234",0.10077519379845,0.535243082293752,0.227987202850442,-0.607699169261905,-1.44301079284102,10
"GO:0031252",0.684343434343434,1,0.0749278818393739,-0.335967186652956,-0.815868192171231,11
"GO:0031267",0.0296483474829864,0.289520635912388,0.352487857583619,-0.343943623255554,-1.3913291065063,112
"GO:0031290",0.507575757575758,0.905619037988337,0.0911073131586733,-0.387830848824919,-0.941814754742317,11
"GO:0031369",0.997340425531915,1,0.0589694466690997,-0.171663965424095,-0.461781145792295,15
"GO:0031386",0.770731707317073,1,0.0481183992657975,0.327026399308983,0.774089482491813,14
"GO:0031398",0.576142131979695,0.956799931521873,0.0843144320642653,-0.356176055645399,-0.885821430956084,12
"GO:0031410",0.24609375,0.707409274193548,0.176694268938498,-0.331977544267727,-1.12492481433477,43
"GO:0031418",0.0699708454810496,0.456896376325052,0.204294756516886,0.513868864289609,1.3795775952254,24
"GO:0031430",0.0123730795574742,0.189013520097035,0.380730400722792,-0.654334822433394,-1.76018003131063,15
"GO:0031440",0.439276485788114,0.866666031001395,0.100990587455923,-0.421970046762084,-1.00198809301135,10
"GO:0031463",0.956743002544529,1,0.0588438169595807,-0.221326805393488,-0.565854045450822,13
"GO:0031490",2.29572378833574e-07,2.83256996653118e-05,0.690132458796796,0.708369739974688,2.1525348164585,47
"GO:0031491",0.302777777777778,0.75265092879257,0.130777137971974,-0.397265236481416,-1.12463320898779,18
"GO:0031492",1.40426804652755e-11,5.63111486657547e-09,0.875325132024659,0.900114721452786,2.40546594550143,23
"GO:0031507",0.00782814831131868,0.144175175325956,0.380730400722792,0.450220831467517,1.52625723148052,94
"GO:0031514",0.723642172523962,1,0.0501934252649434,0.33315859001943,0.80118781374019,15
"GO:0031519",0.757105943152455,1,0.0709609456938284,-0.323635019259476,-0.76848685888439,10
"GO:0031523",0.598984771573604,0.975986263575971,0.0822054920415869,-0.349210064869385,-0.868496785406696,12
"GO:0031593",0.955592105263158,1,0.0387962208304479,0.241031795213049,0.549087679417004,12
"GO:0031594",0.00780705828355375,0.144175175325956,0.407017918923954,-0.380392487913337,-1.50699797041831,96
"GO:0031624",0.984848484848485,1,0.0658311958368866,-0.184624738228737,-0.527786417727609,20
"GO:0031625",1,1,0.0850427463764322,-0.156795800191319,-0.567449547562729,59
"GO:0031647",0.996835443037975,1,0.0673623868166279,-0.170089291015691,-0.504558247947439,24
"GO:0031901",0.790697674418605,1,0.0687943095604775,-0.31611000079162,-0.750618342001881,10
"GO:0031902",0.930921052631579,1,0.0727141077934447,-0.209530246704968,-0.64617183047535,28
"GO:0031965",0.855263157894737,1,0.0770736734944102,-0.234169461705189,-0.722156882316513,28
"GO:0031966",0.97682119205298,1,0.070619624712259,-0.193554927397756,-0.580568173831545,26
"GO:0031982",1,1,0.0810802057550866,-0.141971081607277,-0.502394501042622,49
"GO:0032007",0.616161616161616,0.988005326422275,0.080419996876154,-0.354435081723214,-0.860715929577632,11
"GO:0032008",0.232044198895028,0.689257213014119,0.151148761385484,-0.430314179754243,-1.18741703913471,17
"GO:0032039",0.99349593495935,1,0.0364548541965309,0.180700925113107,0.427729033197823,14
"GO:0032040",0.0312658661722563,0.298514579406543,0.321775918075361,-0.433910315423691,-1.47032981430302,43
"GO:0032154",0.986440677966102,1,0.0713052987340038,-0.162869117896735,-0.53475592825498,36
"GO:0032222",0.838006230529595,1,0.042331839351853,0.291358368482942,0.722748105441828,18
"GO:0032259",0.947967479674797,1,0.03863723737086,0.241949638830757,0.535515007591316,10
"GO:0032266",0.156756756756757,0.599115813708561,0.184706471207739,-0.481565010065107,-1.31487096004839,16
"GO:0032418",0.268976897689769,0.733856209150327,0.103576326612592,0.524955858583468,1.18211333788138,11
"GO:0032436",0.9,1,0.0787113806986485,-0.211999466158043,-0.715988188474579,40
"GO:0032456",1,1,0.0283628487151644,0.148597909142857,0.436838957691103,40
"GO:0032465",0.656565656565657,1,0.0770736734944102,-0.344450445584661,-0.836469076434014,11
"GO:0032482",0.992987377279102,1,0.0293519190331994,0.177685192647439,0.50817339564839,34
"GO:0032483",0.019175759649578,0.238433476573048,0.352487857583619,-0.656971670735561,-1.63390990563377,12
"GO:0032502",0.411382113821138,0.854695249415912,0.0785029047348687,0.475645645303741,1.05276198214862,10
"GO:0032508",0.0764258726350457,0.463966232068821,0.287805130535564,-0.545144777756821,-1.54327100503864,18
"GO:0032509",0.983333333333333,1,0.0617054053637522,-0.17524323150791,-0.496102703447476,18
"GO:0032543",0.0935162094763092,0.520833333333333,0.160801401070022,0.383925393749712,1.28707077783812,88
"GO:0032589",0.95364238410596,1,0.0718276293603809,-0.210620592620867,-0.631756651577925,26
"GO:0032590",0.370266479663394,0.823234950855632,0.0762797180809272,0.376004661567748,1.07536009501724,34
"GO:0032869",0.136950904392765,0.582677057416432,0.193813302725311,-0.520108012334918,-1.36981710074556,14
"GO:0032880",0.0864553314121038,0.490347872216078,0.261663521711573,-0.513407410005818,-1.4508995170886,19
"GO:0032934",0.337171052631579,0.791833628727749,0.0899860794997137,0.493309367675249,1.12379404423408,12
